        K, Rendimiento, Aciertos,
**** Metrica: Manhattan Archivo: wine_test60.0.csv *****,
1,5.633802816901409,4,
2,5.633802816901409,4,
3,5.633802816901409,4,
4,5.633802816901409,4,
5,5.633802816901409,4,
6,5.633802816901409,4,
7,4.225352112676056,3,
8,5.633802816901409,4,
9,1.4084507042253522,1,
10,1.4084507042253522,1,
11,1.4084507042253522,1,
12,1.4084507042253522,1,
13,1.4084507042253522,1,
14,1.4084507042253522,1,
15,1.4084507042253522,1,
16,1.4084507042253522,1,
17,1.4084507042253522,1,
18,1.4084507042253522,1,
19,1.4084507042253522,1,
20,1.4084507042253522,1,
21,0.0,0,
22,1.4084507042253522,1,
23,0.0,0,
24,0.0,0,
25,1.4084507042253522,1,
26,0.0,0,
27,0.0,0,
28,0.0,0,
29,0.0,0,
30,0.0,0,
31,1.4084507042253522,1,
32,0.0,0,
33,0.0,0,
34,0.0,0,
35,0.0,0,
36,0.0,0,
37,0.0,0,
38,0.0,0,
39,0.0,0,
40,0.0,0,
41,0.0,0,
42,0.0,0,
43,0.0,0,
44,0.0,0,
45,0.0,0,
46,0.0,0,
47,0.0,0,
48,0.0,0,
49,0.0,0,
50,0.0,0,
51,0.0,0,
52,0.0,0,
53,1.4084507042253522,1,
54,1.4084507042253522,1,
55,1.4084507042253522,1,
56,0.0,0,
57,0.0,0,
58,1.4084507042253522,1,
59,1.4084507042253522,1,
60,0.0,0,
61,1.4084507042253522,1,
62,0.0,0,
63,0.0,0,
64,1.4084507042253522,1,
65,0.0,0,
66,0.0,0,
67,2.8169014084507045,2,
68,2.8169014084507045,2,
69,2.8169014084507045,2,
70,2.8169014084507045,2,
71,4.225352112676056,3,
**** Metrica: Euclidiana Archivo: wine_test60.0.csv *****,
1,81.69014084507043,58,
2,81.69014084507043,58,
3,76.05633802816901,54,
4,74.64788732394366,53,
5,73.23943661971832,52,
6,74.64788732394366,53,
7,71.83098591549296,51,
8,73.23943661971832,52,
9,73.23943661971832,52,
10,74.64788732394366,53,
11,74.64788732394366,53,
12,71.83098591549296,51,
13,71.83098591549296,51,
14,73.23943661971832,52,
15,71.83098591549296,51,
16,71.83098591549296,51,
17,70.4225352112676,50,
18,73.23943661971832,52,
19,71.83098591549296,51,
20,71.83098591549296,51,
21,70.4225352112676,50,
22,71.83098591549296,51,
23,73.23943661971832,52,
24,71.83098591549296,51,
25,71.83098591549296,51,
26,71.83098591549296,51,
27,73.23943661971832,52,
28,71.83098591549296,51,
29,73.23943661971832,52,
30,71.83098591549296,51,
31,71.83098591549296,51,
32,71.83098591549296,51,
33,71.83098591549296,51,
34,71.83098591549296,51,
35,71.83098591549296,51,
36,70.4225352112676,50,
37,71.83098591549296,51,
38,71.83098591549296,51,
39,71.83098591549296,51,
40,73.23943661971832,52,
41,73.23943661971832,52,
42,73.23943661971832,52,
43,73.23943661971832,52,
44,71.83098591549296,51,
45,73.23943661971832,52,
46,73.23943661971832,52,
47,71.83098591549296,51,
48,70.4225352112676,50,
49,70.4225352112676,50,
50,70.4225352112676,50,
51,73.23943661971832,52,
52,73.23943661971832,52,
53,71.83098591549296,51,
54,71.83098591549296,51,
55,70.4225352112676,50,
56,70.4225352112676,50,
