        K, Rendimiento, Aciertos,
1,100.0,35,
2,100.0,35,
3,97.14285714285714,34,
4,100.0,35,
5,97.14285714285714,34,
6,100.0,35,
7,97.14285714285714,34,
8,97.14285714285714,34,
9,97.14285714285714,34,
10,100.0,35,
11,97.14285714285714,34,
12,100.0,35,
13,97.14285714285714,34,
14,97.14285714285714,34,
15,97.14285714285714,34,
16,97.14285714285714,34,
17,91.42857142857143,32,
18,91.42857142857143,32,
19,91.42857142857143,32,
20,91.42857142857143,32,
21,91.42857142857143,32,
22,91.42857142857143,32,
23,91.42857142857143,32,
24,94.28571428571428,33,
25,91.42857142857143,32,
26,94.28571428571428,33,
27,94.28571428571428,33,
28,94.28571428571428,33,
29,91.42857142857143,32,
30,91.42857142857143,32,
31,91.42857142857143,32,
32,91.42857142857143,32,
33,91.42857142857143,32,
34,94.28571428571428,33,
35,91.42857142857143,32,
